-0.968326	1.0347	-1.55488	-0.960655	0.244355	-1.8624	-3.56255	1.97864	-0.609889	-3.55799	-2.81124	-2.47943	-2.3854	0.282876	0.973398	1.83177	
1.03831	-3.50955	1.30587	2.36736	-3.57794	0.157878	1.88234	-0.428401	-2.03727	1.12061	0.0652553	-0.757692	0.306632	1.21616	-3.10276	-2.6635	
0.274151	-3.86062	-0.41356	-2.35301	0.545707	-1.8236	1.76562	2.41861	0.825177	-2.52246	-0.767908	-1.84631	-1.95316	1.01478	-2.86199	1.45992	
1.20898	-0.574745	1.31508	-0.123844	-1.7044	-0.155824	-1.95394	0.872125	2.15364	-2.90331	-2.1263	-2.51271	1.77593	0.200408	-2.87022	-2.28515	
-0.949658	1.54555	-1.28193	-1.64007	-0.0641482	-1.58356	-2.6326	-3.11338	-1.68005	-0.629062	1.39706	1.24009	-1.99279	-2.70661	1.83771	1.11008	
-1.99282	1.48085	-0.738115	-1.86315	-2.48192	-1.56231	-3.01354	1.51764	-1.34569	2.1111	-1.96576	-1.16467	0.875341	0.127183	1.05645	-3.94703	
-2.25057	-2.45924	0.128686	-2.112	1.06455	-2.61036	1.36027	-1.95544	-2.31852	-1.73146	-0.138469	-0.668359	1.96205	1.36907	0.198586	-1.74591	
1.38728	-2.01674	-1.09544	0.557402	-0.3448	1.32822	1.20044	-3.70843	0.208934	-2.26172	0.0451127	-0.0493067	-2.8426	-2.06707	-2.42866	2.56688	
1.03057	2.47837	-1.49956	1.44101	-2.57949	1.29176	-1.97455	-2.18235	1.83812	1.62481	-1.19817	-0.152387	-1.27944	-2.22053	-2.65554	-1.39996	
-1.07416	-2.37804	-1.77259	-1.10845	-1.1199	-0.454199	2.92715	-3.09534	-2.11185	3.31031	0.943554	0.74018	-0.412202	-3.67818	-1.02346	-2.17021	
